,close,date
169,22.420000076293945,2003-11-13
170,93.4800033569336,2014-07-02
171,18.56999969482422,2001-11-02
172,20.610000610351562,2003-07-21
173,22.850000381469727,2003-09-02
174,587.4400024414062,2012-04-19
175,19.6200008392334,2001-03-16
176,118.87999725341797,2015-11-24
177,22.3700008392334,1996-10-03
178,37.61000061035156,2005-06-20
179,30.809999465942383,1998-10-08
180,160.63999938964844,2008-08-05
181,172.42999267578125,2018-02-16
182,93.23999786376953,2007-04-24
183,119.02999877929688,2015-12-04
184,17.8700008392334,1996-07-11
185,86.30999755859375,2006-12-19
186,37.380001068115234,1998-10-14
187,141.8000030517578,2017-04-12
188,52.63999938964844,2005-09-19
189,21.700000762939453,2002-01-15
190,171.33999633789062,2017-11-14
191,89.19000244140625,2009-02-26
192,93.51000213623047,2007-04-23
